run,distance,file,target_freq,detected_freq,error_hz,percent_error
15,30 inch,test_30in_800hz.wav,800,716.0,-84.0,-10.5
15,36 inch,test_36in_100hz.wav,100,52.800000000000004,-47.199999999999996,-47.199999999999996
15,36 inch,test_36in_1600hz.wav,1600,1431.8000000000002,-168.19999999999982,-10.512499999999989
15,36 inch,test_36in_200hz.wav,200,179.0,-21.0,-10.5
15,36 inch,test_36in_3200hz.wav,3200,2863.4,-336.5999999999999,-10.518749999999997
15,36 inch,test_36in_4000hz.wav,4000,3580.0,-420.0,-10.5
15,36 inch,test_36in_400hz.wav,400,358.0,-42.0,-10.5
15,36 inch,test_36in_800hz.wav,800,716.0,-84.0,-10.5
15,4 inch,test_4in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
15,4 inch,test_4in_1600hz.wav,1600,1432.0,-168.0,-10.5
15,4 inch,test_4in_200hz.wav,200,179.0,-21.0,-10.5
15,4 inch,test_4in_3200hz.wav,3200,2864.0,-336.0,-10.5
15,4 inch,test_4in_4000hz.wav,4000,3579.4,-420.5999999999999,-10.514999999999999
15,4 inch,test_4in_400hz.wav,400,358.0,-42.0,-10.5
15,4 inch,test_4in_800hz.wav,800,716.0,-84.0,-10.5
15,8 inch,test_8in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
15,8 inch,test_8in_1600hz.wav,1600,1432.2,-167.79999999999995,-10.487499999999997
15,8 inch,test_8in_200hz.wav,200,179.0,-21.0,-10.5
15,8 inch,test_8in_3200hz.wav,3200,2864.2000000000003,-335.7999999999997,-10.493749999999991
15,8 inch,test_8in_4000hz.wav,4000,3579.0,-421.0,-10.525
15,8 inch,test_8in_400hz.wav,400,358.0,-42.0,-10.5
15,8 inch,test_8in_800hz.wav,800,716.0,-84.0,-10.5
