Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf,branch,experiment,file,expected,species,species_key,expected_key,confidence,start_s,end_s
6.0,9.0,Turdus pallidus,Pale Thrush,0.0038,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Pale Thrush,palethrush,americanrobin,0.0038,6.0,9.0
6.0,9.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0033,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-headed Grosbeak,blackheadedgrosbeak,americanrobin,0.0033,6.0,9.0
6.0,9.0,Turdus ignobilis,Black-billed Thrush,0.0032,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-billed Thrush,blackbilledthrush,americanrobin,0.0032,6.0,9.0
6.0,9.0,Turdus dissimilis,Black-breasted Thrush,0.0031,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-breasted Thrush,blackbreastedthrush,americanrobin,0.0031,6.0,9.0
6.0,9.0,Turdus obscurus,Eyebrowed Thrush,0.0028,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Eyebrowed Thrush,eyebrowedthrush,americanrobin,0.0028,6.0,9.0
6.0,9.0,Piranga flava,Hepatic Tanager,0.0026,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Hepatic Tanager,hepatictanager,americanrobin,0.0026,6.0,9.0
6.0,9.0,Icterus galbula,Baltimore Oriole,0.0025,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Baltimore Oriole,baltimoreoriole,americanrobin,0.0025,6.0,9.0
6.0,9.0,Turdus philomelos,Song Thrush,0.0023,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Song Thrush,songthrush,americanrobin,0.0023,6.0,9.0
6.0,9.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.0022,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Rose-breasted Grosbeak,rosebreastedgrosbeak,americanrobin,0.0022,6.0,9.0
6.0,9.0,Habia rubica,Red-crowned Ant-Tanager,0.0022,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Red-crowned Ant-Tanager,redcrownedanttanager,americanrobin,0.0022,6.0,9.0
