experiment,bird,distance,file,mean_correct_top1,mean_correct_top3,mean_correct_top5,mean_expected_rank,max_correct_top1,max_correct_top3,max_correct_top5,max_expected_rank,expected_detected,expected_max_active_window_confidence,expected_mean_active_window_confidence,active_window_detection_rate,reference_1ft_confidence,confidence_change_from_1ft,confidence_retention_from_1ft
E1_no_metadata,Northern Mockingbird,24ft,Northern_Mockingbird_24ft.wav,True,True,True,1,True,True,True,1,True,0.3493,0.12229999999999999,0.75,0.31210000000000004,-0.18980000000000005,0.39186158282601724
E1_no_metadata,Northern Yellow Warbler,24ft,Northern_Yellow_Warbler_24ft.wav,True,True,True,1,True,True,True,1,True,0.6093,0.6093,1.0,0.9617,-0.35240000000000005,0.6335655609857543
E1_no_metadata,Oak Titmouse,24ft,Oak_Titmouse_24ft.wav,True,True,True,1,True,True,True,1,True,0.9995,0.7583500000000001,1.0,0.910375,-0.15202499999999997,0.833008375669367
E1_no_metadata,Rock Pigeon,24ft,Rock_Pigeon_24ft.wav,True,True,True,1,True,True,True,1,True,0.9938,0.9758333333333334,1.0,0.8856333333333333,0.09020000000000017,1.1018480183672703
E1_no_metadata,Song Sparrow,24ft,Song_Sparrow_24ft.wav,True,True,True,1,True,True,True,1,True,0.6543,0.6543,1.0,0.9159,-0.26160000000000005,0.7143792990501145
E1_no_metadata,Spotted Towhee,24ft,Spotted_Towhee_24ft.wav,True,True,True,1,True,True,True,1,True,0.9325,0.9065,1.0,0.9761,-0.0696,0.9286958303452515
E1_no_metadata,American Robin,36ft,American_Robin_36ft.wav,True,True,True,1,True,True,True,1,True,0.5516,0.49185,1.0,0.9196,-0.42774999999999996,0.5348521096128752
E1_no_metadata,Anna's Hummingbird,36ft,Annas_Hummingbird_36ft.wav,True,True,True,1,True,True,True,1,True,0.9977,0.941225,1.0,0.94445,-0.0032250000000000334,0.9965853142040341
E1_no_metadata,Barn Swallow,36ft,Barn_Swallow_36ft.wav,True,True,True,1,True,True,True,1,True,0.9801,0.7431666666666666,1.0,0.9812333333333334,-0.23806666666666676,0.7573801678160138
E1_no_metadata,Bewick's Wren,36ft,Bewicks_Wren_36ft.wav,True,True,True,1,True,True,True,1,True,0.4043,0.4043,1.0,0.8609,-0.4566,0.4696248112440469
E1_no_metadata,Black Phoebe,36ft,Black_Phoebe_36ft.wav,True,True,True,1,True,True,True,1,True,0.9994,0.99785,1.0,0.9997250000000001,-0.001875000000000071,0.998124484233164
E1_no_metadata,California Towhee,36ft,California_Towhee_36ft.wav,True,True,True,1,True,True,True,1,True,0.9984,0.99195,1.0,0.9981,-0.006149999999999989,0.9938382927562368
E1_no_metadata,Dark-eyed Junco,36ft,Dark_eyed_Junco_36ft.wav,True,True,True,1,True,True,True,1,True,0.8534,0.85165,1.0,0.9764999999999999,-0.1248499999999999,0.8721454173067077
E1_no_metadata,European Starling,36ft,European_Starling_36ft.wav,False,False,True,5,False,False,False,8,True,0.059,0.03035,0.75,0.344325,-0.313975,0.08814346910622231
E1_no_metadata,Hooded Oriole,36ft,Hooded_Oriole_36ft.wav,True,True,True,1,False,True,True,2,True,0.5376,0.257175,1.0,0.755325,-0.49815000000000004,0.3404825737265415
E1_no_metadata,House Finch,36ft,House_Finch_36ft.wav,True,True,True,1,True,True,True,1,True,0.7507,0.48466666666666663,1.0,0.6496333333333334,-0.16496666666666676,0.7460618810611113
E1_no_metadata,House Sparrow,36ft,House_Sparrow_36ft.wav,True,True,True,1,True,True,True,1,True,0.5626,0.419625,1.0,0.5964,-0.17677500000000002,0.7035965794768612
E1_no_metadata,Lesser Goldfinch,36ft,Lesser_Goldfinch_36ft.wav,True,True,True,1,True,True,True,1,True,0.3181,0.092525,0.5,0.06257499999999999,0.029950000000000004,1.478625649220935
E1_no_metadata,Mourning Dove,36ft,Mourning_Dove_36ft.wav,True,True,True,1,True,True,True,1,True,0.9356,0.8233333333333333,1.0,0.7801,0.043233333333333235,1.0554202452677006
E1_no_metadata,Northern House Wren,36ft,Northern_House_Wren_36ft.wav,True,True,True,1,True,True,True,1,True,0.8912,0.6075666666666667,1.0,0.7593666666666667,-0.15180000000000005,0.8000965717044906
E1_no_metadata,Northern Mockingbird,36ft,Northern_Mockingbird_36ft.wav,False,False,True,4,False,False,True,4,True,0.0809,0.0304,0.75,0.31210000000000004,-0.28170000000000006,0.0974046779878244
E1_no_metadata,Northern Yellow Warbler,36ft,Northern_Yellow_Warbler_36ft.wav,True,True,True,1,True,True,True,1,True,0.5861,0.5861,1.0,0.9617,-0.37560000000000004,0.6094416138088801
E1_no_metadata,Oak Titmouse,36ft,Oak_Titmouse_36ft.wav,True,True,True,1,True,True,True,1,True,0.9975,0.76155,1.0,0.910375,-0.1488250000000001,0.836523410682411
E1_no_metadata,Rock Pigeon,36ft,Rock_Pigeon_36ft.wav,True,True,True,1,True,True,True,1,True,0.9825,0.9630666666666666,1.0,0.8856333333333333,0.07743333333333335,1.0874327223455909
E1_no_metadata,Song Sparrow,36ft,Song_Sparrow_36ft.wav,True,True,True,1,True,True,True,1,True,0.6727,0.6727,1.0,0.9159,-0.24320000000000008,0.7344688284747243
E1_no_metadata,Spotted Towhee,36ft,Spotted_Towhee_36ft.wav,True,True,True,1,True,True,True,1,True,0.8397,0.823,1.0,0.9761,-0.1531,0.8431513164634771
E1_no_metadata,American Robin,48ft,American_Robin_48ft.wav,False,True,True,2,False,True,True,2,True,0.2161,0.07375,0.5,0.9196,-0.84585,0.08019791213571117
E1_no_metadata,Anna's Hummingbird,48ft,Anna_s_Hummingbird_48ft.wav,True,True,True,1,True,True,True,1,True,0.9961,0.730275,0.75,0.94445,-0.214175,0.7732278045423262
E1_no_metadata,Barn Swallow,48ft,Barn_Swallow_48ft.wav,True,True,True,1,True,True,True,1,True,0.8637,0.3575333333333333,1.0,0.9812333333333334,-0.6237000000000001,0.3643713693650847
E1_no_metadata,Bewick's Wren,48ft,Bewick_s_Wren_48ft.wav,True,True,True,1,True,True,True,1,True,0.1707,0.1707,1.0,0.8609,-0.6902,0.19828086885817167
E1_no_metadata,Black Phoebe,48ft,Black_Phoebe_48ft.wav,True,True,True,1,True,True,True,1,True,0.932,0.503175,0.75,0.9997250000000001,-0.49655000000000005,0.5033134111880767
E1_no_metadata,California Towhee,48ft,California_Towhee_48ft.wav,True,True,True,1,True,True,True,1,True,0.6311,0.48965000000000003,1.0,0.9981,-0.50845,0.4905821060014027
E1_no_metadata,Dark-eyed Junco,48ft,Dark_eyed_Junco_48ft.wav,True,True,True,1,True,True,True,1,True,0.5911,0.5517,1.0,0.9764999999999999,-0.42479999999999996,0.5649769585253457
E1_no_metadata,European Starling,48ft,European_Starling_48ft.wav,False,False,False,7,False,False,False,7,True,0.0338,0.00845,0.25,0.344325,-0.335875,0.0245407681696072
E1_no_metadata,Hooded Oriole,48ft,Hooded_Oriole_48ft.wav,False,True,True,2,False,True,True,2,True,0.3573,0.091825,0.5,0.755325,-0.6635,0.12157018501969351
E1_no_metadata,House Finch,48ft,House_Finch_48ft.wav,True,True,True,1,True,True,True,1,True,0.9922,0.4684,1.0,0.6496333333333334,-0.1812333333333334,0.7210221150392528
E1_no_metadata,House Sparrow,48ft,House_Sparrow_48ft.wav,True,True,True,1,True,True,True,1,True,0.558,0.374925,0.75,0.5964,-0.22147500000000003,0.6286468812877263
E1_no_metadata,Lesser Goldfinch,48ft,Lesser_Goldfinch_48ft.wav,True,True,True,1,True,True,True,1,True,0.8851,0.334775,0.5,0.06257499999999999,0.2722,5.349980023971235
E1_no_metadata,Mourning Dove,48ft,Mourning_Dove_48ft.wav,True,True,True,1,True,True,True,1,True,0.9537,0.5191,1.0,0.7801,-0.261,0.6654275092936803
E1_no_metadata,Northern House Wren,48ft,Northern_House_Wren_48ft.wav,True,True,True,1,True,True,True,1,True,0.9277,0.31083333333333335,0.6666666666666666,0.7593666666666667,-0.4485333333333334,0.4093323383521355
E1_no_metadata,Northern Mockingbird,48ft,Northern_Mockingbird_48ft.wav,True,True,True,1,False,True,True,2,True,0.2162,0.1022,0.75,0.31210000000000004,-0.20990000000000003,0.32745914770906753
E1_no_metadata,Northern Yellow Warbler,48ft,Northern_Yellow_Warbler_48ft.wav,True,True,True,1,True,True,True,1,True,0.5094,0.5094,1.0,0.9617,-0.45230000000000004,0.5296870125818862
E1_no_metadata,Oak Titmouse,48ft,Oak_Titmouse_48ft.wav,True,True,True,1,True,True,True,1,True,0.9687,0.31094999999999995,0.75,0.910375,-0.5994250000000001,0.3415625429081422
E1_no_metadata,Rock Pigeon,48ft,Rock_Pigeon_48ft.wav,True,True,True,1,True,True,True,1,True,0.6812,0.2518,1.0,0.8856333333333333,-0.6338333333333332,0.2843163084798073
E1_no_metadata,Song Sparrow,48ft,Song_Sparrow_48ft.wav,True,True,True,1,True,True,True,1,True,0.299,0.299,1.0,0.9159,-0.6169,0.3264548531499072
E1_no_metadata,Spotted Towhee,48ft,Spotted_Towhee_48ft.wav,False,True,True,2,False,True,True,2,True,0.0927,0.0597,1.0,0.9761,-0.9164,0.061161766212478236
E2_week_only,American Robin,1ft,American_Robin_1ft.wav,True,True,True,1,True,True,True,1,True,0.9906,0.9196,1.0,0.9196,0.0,1.0
E2_week_only,Anna's Hummingbird,1ft,Annas_Hummingbird_1ft.wav,True,True,True,1,True,True,True,1,True,0.9953,0.94445,1.0,0.94445,0.0,1.0
