bird,distance,file,environment_adjusted_snr_db,frequency_distortion_index_db,bandwidth_change_hz,usable_low_edge_change_hz,usable_high_edge_change_hz
Song Sparrow,12ft,Song_Sparrow_12ft.wav,10.080286344877006,5.893170443850159,56.36463273211666,-61.00043179426575,-4.635799062149999
Rock Pigeon,12ft,Rock_Pigeon_12ft.wav,10.251711922797307,7.12110466588196,-326.9140604134644,-3.4469219713794104,-330.36098238484374
Black Phoebe,12ft,Black_Phoebe_12ft.wav,10.485538083690647,4.271131603993873,222.4596922975816,-178.62170236900783,43.83798992857373
Black Phoebe,4ft,Black_Phoebe_4ft.wav,11.128332530402052,5.262888215401503,-119.18577145933432,177.7960091046034,58.61023764526908
Rock Pigeon,24ft,Rock_Pigeon_24ft.wav,11.773697529206828,7.439790018872277,-371.55623046675504,41.88372465251382,-329.6725058142412
Mourning Dove,36ft,Mourning_Dove_36ft.wav,12.090472760559129,4.297637126059813,0.87562508399634,-1.837937067029486,-0.962311983033146
Lesser Goldfinch,12ft,Lesser_Goldfinch_12ft.wav,12.483025465578672,4.990655251984252,-211.9406963911597,-283.8143230914525,-495.7550194826126
California Towhee,12ft,California_Towhee_12ft.wav,12.965320039354031,4.956314962246395,-1219.403374388099,761.0565467617262,-458.34682762637294
Rock Pigeon,4ft,Rock_Pigeon_4ft.wav,13.132654965155677,9.364326669405884,-276.3650371515867,-19.380328090720027,-295.74536524230666
Spotted Towhee,12ft,Spotted_Towhee_12ft.wav,13.442832824919096,7.017344551947241,-242.6679903331892,142.98568346678576,-99.68230686640344
Northern Mockingbird,12ft,Northern_Mockingbird_12ft.wav,13.539321007139415,4.991201288784152,97.436201377036,-119.29632034034056,-21.86011896330456
European Starling,12ft,European_Starling_12ft.wav,13.55266749434245,5.556487930320841,-1291.1320393350325,778.2586025543787,-512.8734367806537
Rock Pigeon,36ft,Rock_Pigeon_36ft.wav,13.887001405862051,7.663982649421176,-381.23910004532775,23.82318903894779,-357.4159110063799
Barn Swallow,12ft,Barn_Swallow_12ft.wav,13.898591600624512,5.17451038007763,-1148.826799381277,118.11582777992976,-1030.7109716013474
Bewick's Wren,1ft,Bewicks_Wren_1ft.wav,13.983384294486392,0.0,0.0,0.0,0.0
House Finch,12ft,House_Finch_12ft.wav,14.10200614335169,6.101526641293006,80.80387678657826,-143.80007353455767,-62.99619674797941
American Robin,12ft,American_Robin_12ft.wav,14.392479563997467,5.784266192238113,-290.25336713171146,11.498661340513536,-278.7547057911979
