name,branch,status,error,selected_channel,active_rms_trimmed_selected_dbfs,active_rms_filtered_selected_dbfs,active_rms_mono_dbfs,active_rms_silenced_dbfs,active_rms_normalized_dbfs,rms_filter_change_db,rms_mono_resampling_change_db,rms_silencing_change_db,rms_normalization_change_db,rms_overall_change_db,peak_trimmed_selected_dbfs,peak_filtered_selected_dbfs,peak_mono_dbfs,peak_silenced_dbfs,peak_normalized_dbfs,peak_filter_change_db,peak_mono_resampling_change_db,peak_silencing_change_db,peak_normalization_change_db,peak_overall_change_db,crest_factor_trimmed_selected_db,crest_factor_filtered_selected_db,crest_factor_mono_db,crest_factor_silenced_db,crest_factor_normalized_db,trimmed_original_channels,filtered_original_channels,mono_channels,silenced_channels,normalized_channels,trimmed_sample_rate_hz,filtered_sample_rate_hz,mono_sample_rate_hz,silenced_sample_rate_hz,normalized_sample_rate_hz,trimmed_subtype,filtered_subtype,mono_subtype,silenced_subtype,normalized_subtype,duration_trimmed_seconds,duration_filtered_seconds,duration_mono_seconds,duration_silenced_seconds,duration_normalized_seconds,active_duration_seconds,active_fraction_percent,inactive_max_abs_silenced,inactive_max_abs_normalized
California Towhee,without_harmonics,OK,,right,-24.49531172518046,-24.551774336633958,-24.551774336633958,-24.55177675580289,-25.000000297418087,-0.0564626114534974,0.0,-2.4191689327324184e-06,-0.44822354161519584,-0.504688572237626,-5.136731883139483,-5.191493231365025,-5.191493231365025,-5.191493231365025,-5.639938258379958,-0.05476134822554268,0.0,0.0,-0.44844502701493294,-0.5032063752404756,19.358579842040978,19.360281105268932,19.360281105268932,19.360283524437865,19.360062039038127,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.8,28.0,0.0,0.0
California Towhee,with_harmonics,OK,,right,-24.49531172518046,-24.548404151995932,-24.548404151995932,-24.548406574749436,-25.00000065919156,-0.05309242681547133,0.0,-2.4227535035947767e-06,-0.45159408444212445,-0.5046889340110994,-5.136731883139483,-5.162148169090845,-5.162148169090845,-5.162148169090845,-5.614098686633328,-0.025416285951362028,0.0,0.0,-0.4519505175424836,-0.47736680349384564,19.358579842040978,19.386255982905087,19.386255982905087,19.38625840565859,19.38590197255823,2,2,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,2.8,28.0,0.0,0.0
Dark-eyed Junco,without_harmonics,OK,,left,-20.187837608106673,-20.196550425038573,-20.195858262690578,-20.195859046383582,-24.999996080252767,-0.008712816931900846,0.0006921623479954064,-7.836930038251921e-07,-4.804137033869186,-4.812158472146095,-5.2634703060991415,-5.280127998527114,-5.366725863777074,-5.366725863777074,-10.171124540236349,-0.016657692427972215,-0.08659786524995994,0.0,-4.804398676459275,-4.907654234137207,14.924367302007532,14.91642242651146,14.829132398913504,14.829133182606508,14.828871540016419,2,2,1,1,1,96000,96000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,3.6,36.0,0.0,0.0
European Starling,without_harmonics,OK,,already_mono,-31.861154274925376,-33.009165750766336,-33.009165750766336,-33.025186179482965,-24.999999676104466,-1.1480114758409599,0.0,-0.016020428716629453,8.0251865033785,6.86115459882091,-9.166331354212623,-9.474830281365637,-9.474830281365637,-9.474830281365637,-1.4496880825009395,-0.3084989271530141,0.0,0.0,8.025142198864698,7.716643271711684,22.694822920712753,23.5343354694007,23.5343354694007,23.550355898117328,23.550311593603524,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,9.6,96.0,0.0,0.0
Hooded Oriole,without_harmonics,OK,,already_mono,-25.683166652089213,-25.81789291688637,-25.81789291688637,-25.81794656265916,-25.000000631540075,-0.13472626479715544,0.0,-5.3645772791099944e-05,0.817945931119084,0.6831660205491374,-7.760871622099584,-7.795470491547696,-7.795470491547696,-7.795470491547696,-6.978028404419254,-0.034598869448111635,0.0,0.0,0.817442087128442,0.7828432176803304,17.922295029989627,18.02242242533867,18.02242242533867,18.022476071111463,18.02197222712082,1,1,1,1,1,44100,44100,44100,44100,44100,FLOAT,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.25,62.5,0.0,0.0
Hooded Oriole,with_harmonics,OK,,already_mono,-25.683166652089213,-25.691314580473694,-25.691314580473694,-25.691367351059835,-25.000000670886976,-0.008147928384481418,0.0,-5.277058614083785e-05,0.6913666801728588,0.6831659812022366,-7.760871622099584,-7.79872278111206,-7.79872278111206,-7.79872278111206,-7.10743507877694,-0.03785115901247593,0.0,0.0,0.6912877023351198,0.6534365433226439,17.922295029989627,17.892591799361632,17.892591799361632,17.892644569947777,17.892565592110035,1,1,1,1,1,44100,44100,44100,44100,44100,FLOAT,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.25,62.5,0.0,0.0
House Finch,without_harmonics,OK,,already_mono,-18.797372761893484,-18.819908292409888,-18.819908292409888,-18.819908715057792,-25.000000255257106,-0.022535530516403668,0.0,-4.2264790423018894e-07,-6.180091540199314,-6.202627493363622,-4.8318499917720015,-4.7572727834990935,-4.7572727834990935,-4.7572727834990935,-10.936538280054581,0.07457720827290792,0.0,0.0,-6.179265496555487,-6.1046882882825795,13.965522770121483,14.062635508910795,14.062635508910795,14.062635931558699,14.063461975202525,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,5.25,52.5,0.0,0.0
House Finch,with_harmonics,OK,,already_mono,-18.797372761893484,-18.817856711607842,-18.817856711607842,-18.817857704937392,-25.00000268483077,-0.020483949714357408,0.0,-9.933295501696193e-07,-6.182144979893376,-6.202629922937284,-4.8318499917720015,-4.854534006917514,-4.854534006917514,-4.854534006917514,-11.03701944724953,-0.022684015145512326,0.0,0.0,-6.182485440332017,-6.205169455477529,13.965522770121483,13.963322704690327,13.963322704690327,13.963323698019877,13.962983237581238,1,1,1,1,1,44100,44100,44100,44100,44100,PCM_16,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,5.25,52.5,0.0,0.0
House Sparrow,without_harmonics,OK,,already_mono,-21.04839531977369,-21.1105715836548,-21.106967474070974,-21.117878835991867,-24.999994500969006,-0.06217626388110986,0.003604109583825732,-0.01091136192089337,-3.882115664977139,-3.9515991811953164,-3.825779653822461,-4.120654183631559,-4.084096281630202,-4.084096281630202,-7.966225371116657,-0.294874529809098,0.036557902001356446,0.0,-3.8821290894864546,-4.140445717294196,17.222615665951228,16.98991740002324,17.02287119244077,17.033782554361665,17.03376912985235,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.056009070294785,60.560090702947846,0.0,0.0
House Sparrow,with_harmonics,OK,,already_mono,-21.04839531977369,-21.09776883863644,-21.09415445166755,-21.10503263985273,-24.999998202933796,-0.0493735188627511,0.003614386968891381,-0.010878188185181159,-3.8949655630810653,-3.951602883160106,-3.825779653822461,-3.9331286033284223,-3.8427188899530353,-3.8427188899530353,-7.73778256800795,-0.10734894950596141,0.09040971337538695,0.0,-3.895063678054915,-3.9120029141854893,17.222615665951228,17.164640235308017,17.251435561714516,17.262313749899697,17.262215634925845,1,1,1,1,1,48000,48000,44100,44100,44100,PCM_24,PCM_16,PCM_16,PCM_16,PCM_16,10.0,10.0,10.0,10.0,10.0,6.056009070294785,60.560090702947846,0.0,0.0
