experiment,file,bird,expected_birdnet_species,distance,active_window_count,expected_detected_active_windows,active_window_detection_rate,mean_top1_prediction,mean_top1_confidence,mean_top2_prediction,mean_top2_confidence,mean_top3_prediction,mean_top3_confidence,mean_correct_top1,mean_correct_top3,mean_correct_top5,mean_expected_rank,max_top1_prediction,max_top1_confidence,max_top2_prediction,max_top2_confidence,max_top3_prediction,max_top3_confidence,max_correct_top1,max_correct_top3,max_correct_top5,max_expected_rank,expected_detected,expected_max_active_window_confidence,expected_mean_active_window_confidence,expected_median_active_window_confidence,window_top1_accuracy,window_top3_accuracy,window_top5_accuracy,status,error,reference_1ft_confidence,confidence_change_from_1ft,confidence_retention_from_1ft
E1_no_metadata,Northern_House_Wren_4ft.wav,Northern House Wren,House Wren,4ft,3,3,1.0,House Wren,0.8470333333333334,Marsh Wren,0.0236,Connecticut Warbler,0.022466666666666666,True,True,True,1,House Wren,0.9978,Marsh Wren,0.0693,Connecticut Warbler,0.0674,True,True,True,1,True,0.9978,0.8470333333333334,0.9954,1.0,1.0,1.0,OK,,0.7593666666666667,0.08766666666666667,1.115447083095562
E1_no_metadata,Northern_Mockingbird_4ft.wav,Northern Mockingbird,Northern Mockingbird,4ft,4,3,0.75,Northern Mockingbird,0.359625,Brown Thrasher,0.08055,Chinese Blackbird,0.06795,True,True,True,1,Northern Mockingbird,0.8118,Brown Thrasher,0.313,Chalk-browed Mockingbird,0.1514,True,True,True,1,True,0.8118,0.359625,0.31335,0.75,0.75,0.75,OK,,0.31210000000000004,0.04752499999999993,1.1522749118872153
E1_no_metadata,Northern_Yellow_Warbler_4ft.wav,Northern Yellow Warbler,Yellow Warbler,4ft,1,1,1.0,Yellow Warbler,0.9331,American Redstart,0.0306,Chestnut-sided Warbler,0.0075,True,True,True,1,Yellow Warbler,0.9331,American Redstart,0.0306,Chestnut-sided Warbler,0.0075,True,True,True,1,True,0.9331,0.9331,0.9331,1.0,1.0,1.0,OK,,0.9617,-0.02859999999999996,0.9702609961526464
E1_no_metadata,Oak_Titmouse_4ft.wav,Oak Titmouse,Oak Titmouse,4ft,4,4,1.0,Oak Titmouse,0.894675,Juniper Titmouse,0.23299999999999998,Carolina Wren,0.006175,True,True,True,1,Oak Titmouse,0.9989,Juniper Titmouse,0.9185,Carolina Wren,0.0227,True,True,True,1,True,0.9989,0.894675,0.9982,0.75,1.0,1.0,OK,,0.910375,-0.015700000000000047,0.9827543594672524
E1_no_metadata,Rock_Pigeon_4ft.wav,Rock Pigeon,Rock Pigeon,4ft,3,3,1.0,Rock Pigeon,0.9934666666666666,Tawny-browed Owl,0.007866666666666666,Least Bittern,0.0017000000000000001,True,True,True,1,Rock Pigeon,0.9948,Tawny-browed Owl,0.0149,Least Bittern,0.0051,True,True,True,1,True,0.9948,0.9934666666666666,0.9938,1.0,1.0,1.0,OK,,0.8856333333333333,0.10783333333333334,1.1217584402875531
E1_no_metadata,Song_Sparrow_4ft.wav,Song Sparrow,Song Sparrow,4ft,1,1,1.0,Song Sparrow,0.9624,Swamp Sparrow,0.0028,Bewick's Wren,0.0019,True,True,True,1,Song Sparrow,0.9624,Swamp Sparrow,0.0028,Bewick's Wren,0.0019,True,True,True,1,True,0.9624,0.9624,0.9624,1.0,1.0,1.0,OK,,0.9159,0.046499999999999986,1.050769734687193
E1_no_metadata,Spotted_Towhee_4ft.wav,Spotted Towhee,Spotted Towhee,4ft,2,2,1.0,Spotted Towhee,0.9879,Green-tailed Towhee,0.06785,Virginia's Warbler,0.0032,True,True,True,1,Spotted Towhee,0.9896,Green-tailed Towhee,0.1019,Virginia's Warbler,0.0044,True,True,True,1,True,0.9896,0.9879,0.9879,1.0,1.0,1.0,OK,,0.9761,0.011800000000000033,1.0120889253150291
E1_no_metadata,American_Robin_8ft.wav,American Robin,American Robin,8ft,4,4,1.0,American Robin,0.85685,Summer Tanager,0.05635,Black-headed Grosbeak,0.035250000000000004,True,True,True,1,American Robin,0.969,Summer Tanager,0.2135,Black-headed Grosbeak,0.1164,True,True,True,1,True,0.969,0.85685,0.866,1.0,1.0,1.0,OK,,0.9196,-0.06274999999999997,0.9317638103523271
E1_no_metadata,Annas_Hummingbird_8ft.wav,Anna's Hummingbird,Anna's Hummingbird,8ft,4,4,1.0,Anna's Hummingbird,0.9588,Grassland Yellow-Finch,0.042075,Clay-colored Sparrow,0.024475,True,True,True,1,Anna's Hummingbird,0.9986,Grassland Yellow-Finch,0.1683,Clay-colored Sparrow,0.0979,True,True,True,1,True,0.9986,0.9588000000000001,0.99285,1.0,1.0,1.0,OK,,0.94445,0.014350000000000085,1.015194028270422
E1_no_metadata,Barn_Swallow_8ft.wav,Barn Swallow,Barn Swallow,8ft,3,3,1.0,Barn Swallow,0.9903666666666666,Red-rumped Swallow,0.03503333333333333,Cliff Swallow,0.024166666666666666,True,True,True,1,Barn Swallow,0.9986,Red-rumped Swallow,0.0892,Cliff Swallow,0.0683,True,True,True,1,True,0.9986,0.9903666666666666,0.9943,1.0,1.0,1.0,OK,,0.9812333333333334,0.009133333333333216,1.0093080137242245
E1_no_metadata,Bewicks_Wren_8ft.wav,Bewick's Wren,Bewick's Wren,8ft,1,1,1.0,Bewick's Wren,0.8914,Black-throated Sparrow,0.317,Song Sparrow,0.0098,True,True,True,1,Bewick's Wren,0.8914,Black-throated Sparrow,0.317,Song Sparrow,0.0098,True,True,True,1,True,0.8914,0.8914,0.8914,1.0,1.0,1.0,OK,,0.8609,0.03049999999999997,1.0354280404228133
E1_no_metadata,Black_Phoebe_8ft.wav,Black Phoebe,Black Phoebe,8ft,4,4,1.0,Black Phoebe,0.9989,Tropical Kingbird,0.000425,Eastern Phoebe,0.000375,True,True,True,1,Black Phoebe,0.9996,Eastern Phoebe,0.001,Tropical Kingbird,0.001,True,True,True,1,True,0.9996,0.9988999999999999,0.9988999999999999,1.0,1.0,1.0,OK,,0.9997250000000001,-0.0008250000000001867,0.9991747730625921
E1_no_metadata,California_Towhee_8ft.wav,California Towhee,California Towhee,8ft,2,2,1.0,California Towhee,0.9963500000000001,Abert's Towhee,0.00105,Nuttall's Woodpecker,0.0007999999999999999,True,True,True,1,California Towhee,0.9996,Abert's Towhee,0.0021,Orange-crowned Warbler,0.0013,True,True,True,1,True,0.9996,0.9963500000000001,0.9963500000000001,1.0,1.0,1.0,OK,,0.9981,-0.0017499999999999183,0.998246668670474
E1_no_metadata,Dark_eyed_Junco_8ft.wav,Dark-eyed Junco,Dark-eyed Junco,8ft,2,2,1.0,Dark-eyed Junco,0.97185,Swamp Sparrow,0.05315,Chipping Sparrow,0.0158,True,True,True,1,Dark-eyed Junco,0.9858,Swamp Sparrow,0.0669,Chipping Sparrow,0.0211,True,True,True,1,True,0.9858,0.97185,0.97185,1.0,1.0,1.0,OK,,0.9764999999999999,-0.004649999999999932,0.9952380952380953
E1_no_metadata,European_Starling_8ft.wav,European Starling,European Starling,8ft,4,3,0.75,European Starling,0.1441,Rusty Blackbird,0.110525,Spotless Starling,0.084625,True,True,True,1,Rusty Blackbird,0.4225,European Starling,0.3068,Spotless Starling,0.2851,False,True,True,2,True,0.3068,0.1441,0.1348,0.25,0.75,0.75,OK,,0.344325,-0.200225,0.41849996369708853
E1_no_metadata,Hooded_Oriole_8ft.wav,Hooded Oriole,Hooded Oriole,8ft,4,4,1.0,Hooded Oriole,0.6775,Western Tanager,0.21575,Curve-billed Thrasher,0.026075,True,True,True,1,Hooded Oriole,0.9939,Western Tanager,0.863,Curve-billed Thrasher,0.0992,True,True,True,1,True,0.9939,0.6775,0.6833,0.75,1.0,1.0,OK,,0.755325,-0.07782500000000003,0.8969648826664018
